WeekEnding,HB,HBQF,AgeGroup,AgeGroupQF,Sex,SexQF,Deaths,Average20152019,PercentVariation,PercentVariationQF
20200301,S08000032,"",Under 65,"",All,d,28,24.2,15.7,""
20200301,S08000032,"",65 and over,"",All,d,107,118.2,-9.5,""
20200301,S08000032,"",All ages,d,All,d,135,142.4,-5.2,""
20200301,S08000032,"",All ages,d,Female,"",69,77.6,-11.1,""
20200301,S08000032,"",All ages,d,Male,"",66,64.8,1.9,""
20200301,S92000003,d,Under 65,"",All,d,217,220,-1.4,""
20200301,S92000003,d,65 and over,"",All,d,954,944.8,1,""
20200301,S92000003,d,All ages,d,All,d,1171,1164.8,0.5,""
20200301,S92000003,d,All ages,d,Female,"",591,607.6,-2.7,""
20200301,S92000003,d,All ages,d,Male,"",580,557.2,4.1,""
20200308,S08000015,"",Under 65,"",All,d,18,16.4,9.8,""
20200308,S08000015,"",65 and over,"",All,d,86,79.8,7.8,""
20200308,S08000015,"",All ages,d,All,d,104,96.2,8.1,""
20200308,S08000015,"",All ages,d,Female,"",52,50.2,3.6,""
20200308,S08000015,"",All ages,d,Male,"",52,46,13,""
20200308,S08000016,"",Under 65,"",All,d,4,4,0,""
20200308,S08000016,"",65 and over,"",All,d,28,25.4,10.2,""
20200308,S08000016,"",All ages,d,All,d,32,29.4,8.8,""
20200308,S08000016,"",All ages,d,Female,"",14,15,-6.7,""
20200308,S08000016,"",All ages,d,Male,"",18,14.4,25,""
20200308,S08000017,"",Under 65,"",All,d,5,8,-37.5,""
20200308,S08000017,"",65 and over,"",All,d,33,36.4,-9.3,""
20200308,S08000017,"",All ages,d,All,d,38,44.4,-14.4,""
20200308,S08000017,"",All ages,d,Female,"",21,23,-8.7,""
20200308,S08000017,"",All ages,d,Male,"",17,21.4,-20.6,""
20200308,S08000019,"",Under 65,"",All,d,12,11.6,3.4,""
20200308,S08000019,"",65 and over,"",All,d,63,57.2,10.1,""
20200308,S08000019,"",All ages,d,All,d,75,68.8,9,""
20200308,S08000019,"",All ages,d,Female,"",37,36,2.8,""
20200308,S08000019,"",All ages,d,Male,"",38,32.8,15.9,""
20200308,S08000020,"",Under 65,"",All,d,23,17.8,29.2,""
20200308,S08000020,"",65 and over,"",All,d,83,97.4,-14.8,""
20200308,S08000020,"",All ages,d,All,d,106,115.2,-8,""
20200308,S08000020,"",All ages,d,Female,"",51,61.4,-16.9,""
20200308,S08000020,"",All ages,d,Male,"",55,53.8,2.2,""
20200308,S08000022,"",Under 65,"",All,d,11,12.2,-9.8,""
20200308,S08000022,"",65 and over,"",All,d,59,67,-11.9,""
20200308,S08000022,"",All ages,d,All,d,70,79.2,-11.6,""
20200308,S08000022,"",All ages,d,Female,"",28,41,-31.7,""
20200308,S08000022,"",All ages,d,Male,"",42,38.2,9.9,""
20200308,S08000024,"",Under 65,"",All,d,25,26.6,-6,""
20200308,S08000024,"",65 and over,"",All,d,141,134,5.2,""
20200308,S08000024,"",All ages,d,All,d,166,160.6,3.4,""
20200308,S08000024,"",All ages,d,Female,"",87,80.8,7.7,""
20200308,S08000024,"",All ages,d,Male,"",79,79.8,-1,""
20200308,S08000025,"",Under 65,"",All,d,0,0.4,-100,""
20200308,S08000025,"",65 and over,"",All,d,5,1.6,212.5,""
20200308,S08000025,"",All ages,d,All,d,5,2,150,""
20200308,S08000025,"",All ages,d,Female,"",2,1.2,66.7,""
20200308,S08000025,"",All ages,d,Male,"",3,0.8,275,""
20200308,S08000026,"",Under 65,"",All,d,1,1.2,-16.7,""
20200308,S08000026,"",65 and over,"",All,d,3,4.8,-37.5,""
20200308,S08000026,"",All ages,d,All,d,4,6,-33.3,""
20200308,S08000026,"",All ages,d,Female,"",3,3.2,-6.3,""
20200308,S08000026,"",All ages,d,Male,"",1,2.8,-64.3,""
20200308,S08000028,"",Under 65,"",All,d,1,0,,z
20200308,S08000028,"",65 and over,"",All,d,5,6.4,-21.9,""
20200308,S08000028,"",All ages,d,All,d,6,6.4,-6.3,""
20200308,S08000028,"",All ages,d,Female,"",3,3,0,""
20200308,S08000028,"",All ages,d,Male,"",3,3.4,-11.8,""
20200308,S08000029,"",Under 65,"",All,d,10,15,-33.3,""
20200308,S08000029,"",65 and over,"",All,d,68,77,-11.7,""
20200308,S08000029,"",All ages,d,All,d,78,92,-15.2,""
20200308,S08000029,"",All ages,d,Female,"",38,49.4,-23.1,""
20200308,S08000029,"",All ages,d,Male,"",40,42.6,-6.1,""
20200308,S08000030,"",Under 65,"",All,d,20,16.2,23.5,""
20200308,S08000030,"",65 and over,"",All,d,66,85.6,-22.9,""
20200308,S08000030,"",All ages,d,All,d,86,101.8,-15.5,""
20200308,S08000030,"",All ages,d,Female,"",52,54.2,-4.1,""
20200308,S08000030,"",All ages,d,Male,"",34,47.6,-28.6,""
20200308,S08000031,"",Under 65,"",All,d,60,55.4,8.3,""
20200308,S08000031,"",65 and over,"",All,d,223,214.8,3.8,""
20200308,S08000031,"",All ages,d,All,d,283,270.2,4.7,""
20200308,S08000031,"",All ages,d,Female,"",152,143.8,5.7,""
20200308,S08000031,"",All ages,d,Male,"",131,126.4,3.6,""
20200308,S08000032,"",Under 65,"",All,d,33,29.4,12.2,""
20200308,S08000032,"",65 and over,"",All,d,118,125,-5.6,""
20200308,S08000032,"",All ages,d,All,d,151,154.4,-2.2,""
20200308,S08000032,"",All ages,d,Female,"",82,81.2,1,""
20200308,S08000032,"",All ages,d,Male,"",69,73.2,-5.7,""
20200308,S92000003,d,Under 65,"",All,d,224,215.6,3.9,""
20200308,S92000003,d,65 and over,"",All,d,984,1013,-2.9,""
20200308,S92000003,d,All ages,d,All,d,1208,1228.6,-1.7,""
20200308,S92000003,d,All ages,d,Female,"",623,643.8,-3.2,""
20200308,S92000003,d,All ages,d,Male,"",585,584.8,0,""
20200315,S08000015,"",Under 65,"",All,d,23,13.6,69.1,""
20200315,S08000015,"",65 and over,"",All,d,86,73.4,17.2,""
20200315,S08000015,"",All ages,d,All,d,109,87,25.3,""
20200315,S08000015,"",All ages,d,Female,"",58,48.4,19.8,""
20200315,S08000015,"",All ages,d,Male,"",51,38.6,32.1,""
20200315,S08000016,"",Under 65,"",All,d,5,4.4,13.6,""
20200315,S08000016,"",65 and over,"",All,d,24,29,-17.2,""
20200315,S08000016,"",All ages,d,All,d,29,33.4,-13.2,""
20200315,S08000016,"",All ages,d,Female,"",14,15.4,-9.1,""
20200315,S08000016,"",All ages,d,Male,"",15,18,-16.7,""
20200315,S08000017,"",Under 65,"",All,d,2,4.8,-58.3,""
20200315,S08000017,"",65 and over,"",All,d,33,40.4,-18.3,""
20200315,S08000017,"",All ages,d,All,d,35,45.2,-22.6,""
20200315,S08000017,"",All ages,d,Female,"",14,24.2,-42.1,""
20200315,S08000017,"",All ages,d,Male,"",21,21,0,""
20200315,S08000019,"",Under 65,"",All,d,11,10.4,5.8,""
20200315,S08000019,"",65 and over,"",All,d,44,53.6,-17.9,""
20200315,S08000019,"",All ages,d,All,d,55,64,-14.1,""
20200315,S08000019,"",All ages,d,Female,"",28,30.2,-7.3,""
20200315,S08000019,"",All ages,d,Male,"",27,33.8,-20.1,""
20200315,S08000020,"",Under 65,"",All,d,24,19.8,21.2,""
20200315,S08000020,"",65 and over,"",All,d,103,100.4,2.6,""
20200315,S08000020,"",All ages,d,All,d,127,120.2,5.7,""
20200315,S08000020,"",All ages,d,Female,"",53,66,-19.7,""
20200315,S08000020,"",All ages,d,Male,"",74,54.2,36.5,""
20200315,S08000022,"",Under 65,"",All,d,12,11.6,3.4,""
20200315,S08000022,"",65 and over,"",All,d,65,63.2,2.8,""
20200315,S08000022,"",All ages,d,All,d,77,74.8,2.9,""
20200315,S08000022,"",All ages,d,Female,"",33,37.6,-12.2,""
20200315,S08000022,"",All ages,d,Male,"",44,37.2,18.3,""
20200315,S08000024,"",Under 65,"",All,d,30,24.8,21,""
20200315,S08000024,"",65 and over,"",All,d,151,126.8,19.1,""
20200315,S08000024,"",All ages,d,All,d,181,151.6,19.4,""
20200315,S08000024,"",All ages,d,Female,"",90,74.6,20.6,""
20200315,S08000024,"",All ages,d,Male,"",91,77,18.2,""
20200315,S08000025,"",Under 65,"",All,d,0,0.6,-100,""
20200315,S08000025,"",65 and over,"",All,d,6,3,100,""
20200315,S08000025,"",All ages,d,All,d,6,3.6,66.7,""
20200315,S08000025,"",All ages,d,Female,"",5,2,150,""
20200315,S08000025,"",All ages,d,Male,"",1,1.6,-37.5,""
20200315,S08000026,"",Under 65,"",All,d,0,0.6,-100,""
20200315,S08000026,"",65 and over,"",All,d,3,2.4,25,""
20200315,S08000026,"",All ages,d,All,d,3,3,0,""
20200315,S08000026,"",All ages,d,Female,"",2,1.2,66.7,""
20200315,S08000026,"",All ages,d,Male,"",1,1.8,-44.4,""
20200315,S08000028,"",Under 65,"",All,d,1,0.8,25,""
20200315,S08000028,"",65 and over,"",All,d,10,4.6,117.4,""
20200315,S08000028,"",All ages,d,All,d,11,5.4,103.7,""
20200315,S08000028,"",All ages,d,Female,"",5,2.4,108.3,""
20200315,S08000028,"",All ages,d,Male,"",6,3,100,""
20200315,S08000029,"",Under 65,"",All,d,12,13,-7.7,""
20200315,S08000029,"",65 and over,"",All,d,68,66.6,2.1,""
20200315,S08000029,"",All ages,d,All,d,80,79.6,0.5,""
20200315,S08000029,"",All ages,d,Female,"",40,38.8,3.1,""
20200315,S08000029,"",All ages,d,Male,"",40,40.8,-2,""
20200315,S08000030,"",Under 65,"",All,d,24,19.8,21.2,""
20200315,S08000030,"",65 and over,"",All,d,70,77.6,-9.8,""
20200315,S08000030,"",All ages,d,All,d,94,97.4,-3.5,""
20200315,S08000030,"",All ages,d,Female,"",43,52.6,-18.3,""
20200315,S08000030,"",All ages,d,Male,"",51,44.8,13.8,""
20200315,S08000031,"",Under 65,"",All,d,67,48.6,37.9,""
20200315,S08000031,"",65 and over,"",All,d,177,204.8,-13.6,""
20200315,S08000031,"",All ages,d,All,d,244,253.4,-3.7,""
20200315,S08000031,"",All ages,d,Female,"",130,136.2,-4.6,""
20200315,S08000031,"",All ages,d,Male,"",114,117.2,-2.7,""
20200315,S08000032,"",Under 65,"",All,d,27,28.4,-4.9,""
20200315,S08000032,"",65 and over,"",All,d,113,120,-5.8,""
20200315,S08000032,"",All ages,d,All,d,140,148.4,-5.7,""
20200315,S08000032,"",All ages,d,Female,"",71,76.6,-7.3,""
20200315,S08000032,"",All ages,d,Male,"",69,71.8,-3.9,""
20200315,S92000003,d,Under 65,"",All,d,241,202.4,19.1,""
20200315,S92000003,d,65 and over,"",All,d,957,966.6,-1,""
20200315,S92000003,d,All ages,d,All,d,1198,1169,2.5,""
20200315,S92000003,d,All ages,d,Female,"",588,606.8,-3.1,""
20200315,S92000003,d,All ages,d,Male,"",610,562.2,8.5,""
20200322,S08000015,"",Under 65,"",All,d,18,14.2,26.8,""
20200322,S08000015,"",65 and over,"",All,d,83,76.2,8.9,""
20200322,S08000015,"",All ages,d,All,d,101,90.4,11.7,""
20200322,S08000015,"",All ages,d,Female,"",42,42.6,-1.4,""
20200322,S08000015,"",All ages,d,Male,"",59,47.8,23.4,""
20200322,S08000016,"",Under 65,"",All,d,10,4,150,""
20200322,S08000016,"",65 and over,"",All,d,26,22.6,15,""
20200322,S08000016,"",All ages,d,All,d,36,26.6,35.3,""
20200322,S08000016,"",All ages,d,Female,"",14,13.8,1.4,""
20200322,S08000016,"",All ages,d,Male,"",22,12.8,71.9,""
20200322,S08000017,"",Under 65,"",All,d,7,4.6,52.2,""
20200322,S08000017,"",65 and over,"",All,d,34,33,3,""
20200322,S08000017,"",All ages,d,All,d,41,37.6,9,""
20200322,S08000017,"",All ages,d,Female,"",20,18.4,8.7,""
20200322,S08000017,"",All ages,d,Male,"",21,19.2,9.4,""
20200322,S08000019,"",Under 65,"",All,d,17,11.4,49.1,""
20200322,S08000019,"",65 and over,"",All,d,49,51.4,-4.7,""
20200322,S08000019,"",All ages,d,All,d,66,62.8,5.1,""
20200322,S08000019,"",All ages,d,Female,"",26,33.2,-21.7,""
20200322,S08000019,"",All ages,d,Male,"",40,29.6,35.1,""
20200322,S08000020,"",Under 65,"",All,d,17,17.6,-3.4,""
20200322,S08000020,"",65 and over,"",All,d,115,92,25,""
20200322,S08000020,"",All ages,d,All,d,132,109.6,20.4,""
20200322,S08000020,"",All ages,d,Female,"",65,58.4,11.3,""
20200322,S08000020,"",All ages,d,Male,"",67,51.2,30.9,""
20200322,S08000022,"",Under 65,"",All,d,13,11.2,16.1,""
20200322,S08000022,"",65 and over,"",All,d,58,57,1.8,""
20200322,S08000022,"",All ages,d,All,d,71,68.2,4.1,""
20200322,S08000022,"",All ages,d,Female,"",36,37.2,-3.2,""
20200322,S08000022,"",All ages,d,Male,"",35,31,12.9,""
20200322,S08000024,"",Under 65,"",All,d,28,27.4,2.2,""
20200322,S08000024,"",65 and over,"",All,d,139,114.2,21.7,""
20200322,S08000024,"",All ages,d,All,d,167,141.6,17.9,""
20200322,S08000024,"",All ages,d,Female,"",91,74.6,22,""
20200322,S08000024,"",All ages,d,Male,"",76,67,13.4,""
20200322,S08000025,"",Under 65,"",All,d,1,0.2,400,""
20200322,S08000025,"",65 and over,"",All,d,6,4.4,36.4,""
20200322,S08000025,"",All ages,d,All,d,7,4.6,52.2,""
20200322,S08000025,"",All ages,d,Female,"",2,2.2,-9.1,""
20200322,S08000025,"",All ages,d,Male,"",5,2.4,108.3,""
20200322,S08000026,"",Under 65,"",All,d,0,0.8,-100,""
20200322,S08000026,"",65 and over,"",All,d,3,4.2,-28.6,""
20200322,S08000026,"",All ages,d,All,d,3,5,-40,""
20200322,S08000026,"",All ages,d,Female,"",0,2.2,-100,""
20200322,S08000026,"",All ages,d,Male,"",3,2.8,7.1,""
20200322,S08000028,"",Under 65,"",All,d,1,0.8,25,""
20200322,S08000028,"",65 and over,"",All,d,4,4.2,-4.8,""
20200322,S08000028,"",All ages,d,All,d,5,5,0,""
20200322,S08000028,"",All ages,d,Female,"",2,3,-33.3,""
20200322,S08000028,"",All ages,d,Male,"",3,2,50,""
20200322,S08000029,"",Under 65,"",All,d,12,14.4,-16.7,""
20200322,S08000029,"",65 and over,"",All,d,57,70.6,-19.3,""
20200322,S08000029,"",All ages,d,All,d,69,85,-18.8,""
20200322,S08000029,"",All ages,d,Female,"",41,45.4,-9.7,""
20200322,S08000029,"",All ages,d,Male,"",28,39.6,-29.3,""
20200322,S08000030,"",Under 65,"",All,d,16,12.6,27,""
20200322,S08000030,"",65 and over,"",All,d,76,84,-9.5,""
20200322,S08000030,"",All ages,d,All,d,92,96.6,-4.8,""
20200322,S08000030,"",All ages,d,Female,"",52,47.8,8.8,""
20200322,S08000030,"",All ages,d,Male,"",40,48.8,-18,""
20200322,S08000031,"",Under 65,"",All,d,64,54,18.5,""
20200322,S08000031,"",65 and over,"",All,d,200,191.4,4.5,""
20200322,S08000031,"",All ages,d,All,d,264,245.4,7.6,""
20200322,S08000031,"",All ages,d,Female,"",115,128.6,-10.6,""
20200322,S08000031,"",All ages,d,Male,"",149,116.8,27.6,""
20200322,S08000032,"",Under 65,"",All,d,28,27.6,1.4,""
20200322,S08000032,"",65 and over,"",All,d,110,111,-0.9,""
20200322,S08000032,"",All ages,d,All,d,138,138.6,-0.4,""
20200322,S08000032,"",All ages,d,Female,"",74,70.8,4.5,""
20200322,S08000032,"",All ages,d,Male,"",64,67.8,-5.6,""
20200322,S92000003,d,Under 65,"",All,d,234,203,15.3,""
20200322,S92000003,d,65 and over,"",All,d,962,917.4,4.9,""
20200322,S92000003,d,All ages,d,All,d,1196,1120.4,6.7,""
20200322,S92000003,d,All ages,d,Female,"",580,579.2,0.1,""
20200322,S92000003,d,All ages,d,Male,"",616,541.2,13.8,""
20200329,S08000015,"",Under 65,"",All,d,17,14,21.4,""
20200329,S08000015,"",65 and over,"",All,d,89,71.4,24.6,""
20200329,S08000015,"",All ages,d,All,d,106,85.4,24.1,""
20200329,S08000015,"",All ages,d,Female,"",70,42.4,65.1,""
20200329,S08000015,"",All ages,d,Male,"",36,43,-16.3,""
20200329,S08000016,"",Under 65,"",All,d,0,4.6,-100,""
20200329,S08000016,"",65 and over,"",All,d,23,21.2,8.5,""
20200329,S08000016,"",All ages,d,All,d,23,25.8,-10.9,""
20200329,S08000016,"",All ages,d,Female,"",11,14,-21.4,""
20200329,S08000016,"",All ages,d,Male,"",12,11.8,1.7,""
20200329,S08000017,"",Under 65,"",All,d,4,4.6,-13,""
20200329,S08000017,"",65 and over,"",All,d,24,32.6,-26.4,""
20200329,S08000017,"",All ages,d,All,d,28,37.2,-24.7,""
20200329,S08000017,"",All ages,d,Female,"",12,18,-33.3,""
20200329,S08000017,"",All ages,d,Male,"",16,19.2,-16.7,""
20200329,S08000019,"",Under 65,"",All,d,7,11.8,-40.7,""
20200329,S08000019,"",65 and over,"",All,d,68,45,51.1,""
20200329,S08000019,"",All ages,d,All,d,75,56.8,32,""
20200329,S08000019,"",All ages,d,Female,"",37,26,42.3,""
20200329,S08000019,"",All ages,d,Male,"",38,30.8,23.4,""
20200329,S08000020,"",Under 65,"",All,d,19,19.8,-4,""
20200329,S08000020,"",65 and over,"",All,d,92,96.2,-4.4,""
20200329,S08000020,"",All ages,d,All,d,111,116,-4.3,""
20200329,S08000020,"",All ages,d,Female,"",62,57.6,7.6,""
20200329,S08000020,"",All ages,d,Male,"",49,58.4,-16.1,""
20200329,S08000022,"",Under 65,"",All,d,11,12.4,-11.3,""
20200329,S08000022,"",65 and over,"",All,d,59,58.4,1,""
20200329,S08000022,"",All ages,d,All,d,70,70.8,-1.1,""
20200329,S08000022,"",All ages,d,Female,"",42,36.2,16,""
20200329,S08000022,"",All ages,d,Male,"",28,34.6,-19.1,""
20200329,S08000024,"",Under 65,"",All,d,28,27.4,2.2,""
20200329,S08000024,"",65 and over,"",All,d,115,123.4,-6.8,""
20200329,S08000024,"",All ages,d,All,d,143,150.8,-5.2,""
20200329,S08000024,"",All ages,d,Female,"",77,77.6,-0.8,""
20200329,S08000024,"",All ages,d,Male,"",66,73.2,-9.8,""
20200329,S08000025,"",Under 65,"",All,d,0,1.4,-100,""
20200329,S08000025,"",65 and over,"",All,d,8,3.4,135.3,""
20200329,S08000025,"",All ages,d,All,d,8,4.8,66.7,""
20200329,S08000025,"",All ages,d,Female,"",5,2.4,108.3,""
20200329,S08000025,"",All ages,d,Male,"",3,2.4,25,""
20200329,S08000026,"",Under 65,"",All,d,0,1,-100,""
20200329,S08000026,"",65 and over,"",All,d,9,4,125,""
20200329,S08000026,"",All ages,d,All,d,9,5,80,""
20200329,S08000026,"",All ages,d,Female,"",5,2.8,78.6,""
20200329,S08000026,"",All ages,d,Male,"",4,2.2,81.8,""
20200329,S08000028,"",Under 65,"",All,d,0,0.4,-100,""
20200329,S08000028,"",65 and over,"",All,d,5,6.4,-21.9,""
20200329,S08000028,"",All ages,d,All,d,5,6.8,-26.5,""
20200329,S08000028,"",All ages,d,Female,"",4,3.4,17.6,""
20200329,S08000028,"",All ages,d,Male,"",1,3.4,-70.6,""
20200329,S08000029,"",Under 65,"",All,d,14,13.4,4.5,""
20200329,S08000029,"",65 and over,"",All,d,84,66.6,26.1,""
20200329,S08000029,"",All ages,d,All,d,98,80,22.5,""
20200329,S08000029,"",All ages,d,Female,"",54,38.4,40.6,""
20200329,S08000029,"",All ages,d,Male,"",44,41.6,5.8,""
20200329,S08000030,"",Under 65,"",All,d,16,15.4,3.9,""
20200329,S08000030,"",65 and over,"",All,d,78,78.4,-0.5,""
20200329,S08000030,"",All ages,d,All,d,94,93.8,0.2,""
20200329,S08000030,"",All ages,d,Female,"",46,48.2,-4.6,""
20200329,S08000030,"",All ages,d,Male,"",48,45.6,5.3,""
20200329,S08000031,"",Under 65,"",All,d,33,50.2,-34.3,""
20200329,S08000031,"",65 and over,"",All,d,134,198.8,-32.6,""
20200329,S08000031,"",All ages,d,All,d,167,249,-32.9,""
20200329,S08000031,"",All ages,d,Female,"",88,123.6,-28.8,""
20200329,S08000031,"",All ages,d,Male,"",79,125.4,-37,""
20200329,S08000032,"",Under 65,"",All,d,28,26.8,4.5,""
20200329,S08000032,"",65 and over,"",All,d,108,106,1.9,""
20200329,S08000032,"",All ages,d,All,d,136,132.8,2.4,""
20200329,S08000032,"",All ages,d,Female,"",63,67.2,-6.3,""
20200329,S08000032,"",All ages,d,Male,"",73,65.6,11.3,""
20200329,S92000003,d,Under 65,"",All,d,178,204.6,-13,""
20200329,S92000003,d,65 and over,"",All,d,901,913.6,-1.4,""
20200329,S92000003,d,All ages,d,All,d,1079,1118.2,-3.5,""
20200329,S92000003,d,All ages,d,Female,"",578,559.4,3.3,""
20200329,S92000003,d,All ages,d,Male,"",501,558.8,-10.3,""
20200405,S08000015,"",Under 65,"",All,d,17,12.6,34.9,""
20200405,S08000015,"",65 and over,"",All,d,104,82.4,26.2,""
20200405,S08000015,"",All ages,d,All,d,121,95,27.4,""
20200405,S08000015,"",All ages,d,Female,"",52,51.2,1.6,""
20200405,S08000015,"",All ages,d,Male,"",69,43.8,57.5,""
20200405,S08000016,"",Under 65,"",All,d,4,2.8,42.9,""
20200405,S08000016,"",65 and over,"",All,d,38,23.6,61,""
20200405,S08000016,"",All ages,d,All,d,42,26.4,59.1,""
20200405,S08000016,"",All ages,d,Female,"",19,15.2,25,""
20200405,S08000016,"",All ages,d,Male,"",23,11.2,105.4,""
20200405,S08000017,"",Under 65,"",All,d,11,4.6,139.1,""
20200405,S08000017,"",65 and over,"",All,d,61,34.4,77.3,""
20200405,S08000017,"",All ages,d,All,d,72,39,84.6,""
20200405,S08000017,"",All ages,d,Female,"",38,19.8,91.9,""
20200405,S08000017,"",All ages,d,Male,"",34,19.2,77.1,""
20200405,S08000019,"",Under 65,"",All,d,12,8.2,46.3,""
20200405,S08000019,"",65 and over,"",All,d,84,49.8,68.7,""
20200405,S08000019,"",All ages,d,All,d,96,58,65.5,""
20200405,S08000019,"",All ages,d,Female,"",51,29.8,71.1,""
20200405,S08000019,"",All ages,d,Male,"",45,28.2,59.6,""
20200405,S08000020,"",Under 65,"",All,d,22,20.2,8.9,""
20200405,S08000020,"",65 and over,"",All,d,119,83.6,42.3,""
20200405,S08000020,"",All ages,d,All,d,141,103.8,35.8,""
20200405,S08000020,"",All ages,d,Female,"",64,53,20.8,""
20200405,S08000020,"",All ages,d,Male,"",77,50.8,51.6,""
20200405,S08000022,"",Under 65,"",All,d,12,11.2,7.1,""
20200405,S08000022,"",65 and over,"",All,d,89,56,58.9,""
20200405,S08000022,"",All ages,d,All,d,101,67.2,50.3,""
20200405,S08000022,"",All ages,d,Female,"",40,35.8,11.7,""
20200405,S08000022,"",All ages,d,Male,"",61,31.4,94.3,""
20200405,S08000024,"",Under 65,"",All,d,37,29.4,25.9,""
20200405,S08000024,"",65 and over,"",All,d,190,116.6,63,""
20200405,S08000024,"",All ages,d,All,d,227,146,55.5,""
20200405,S08000024,"",All ages,d,Female,"",106,66.4,59.6,""
20200405,S08000024,"",All ages,d,Male,"",121,79.6,52,""
20200405,S08000025,"",Under 65,"",All,d,1,0.2,400,""
20200405,S08000025,"",65 and over,"",All,d,8,3,166.7,""
20200405,S08000025,"",All ages,d,All,d,9,3.2,181.2,""
20200405,S08000025,"",All ages,d,Female,"",5,1.4,257.1,""
20200405,S08000025,"",All ages,d,Male,"",4,1.8,122.2,""
20200405,S08000026,"",Under 65,"",All,d,0,0.2,-100,""
20200405,S08000026,"",65 and over,"",All,d,8,3.8,110.5,""
20200405,S08000026,"",All ages,d,All,d,8,4,100,""
20200405,S08000026,"",All ages,d,Female,"",3,1.6,87.5,""
20200405,S08000026,"",All ages,d,Male,"",5,2.4,108.3,""
20200405,S08000028,"",Under 65,"",All,d,1,0.8,25,""
20200405,S08000028,"",65 and over,"",All,d,5,5.2,-3.8,""
20200405,S08000028,"",All ages,d,All,d,6,6,0,""
20200405,S08000028,"",All ages,d,Female,"",4,3,33.3,""
20200405,S08000028,"",All ages,d,Male,"",2,3,-33.3,""
20200405,S08000029,"",Under 65,"",All,d,13,16.2,-19.8,""
20200405,S08000029,"",65 and over,"",All,d,69,67.2,2.7,""
20200405,S08000029,"",All ages,d,All,d,82,83.4,-1.7,""
20200405,S08000029,"",All ages,d,Female,"",41,42.6,-3.8,""
20200405,S08000029,"",All ages,d,Male,"",41,40.8,0.5,""
20200405,S08000030,"",Under 65,"",All,d,24,15.2,57.9,""
20200405,S08000030,"",65 and over,"",All,d,102,72.2,41.3,""
20200405,S08000030,"",All ages,d,All,d,126,87.4,44.2,""
20200405,S08000030,"",All ages,d,Female,"",53,48,10.4,""
20200405,S08000030,"",All ages,d,Male,"",73,39.4,85.3,""
20200405,S08000031,"",Under 65,"",All,d,87,47.6,82.8,""
20200405,S08000031,"",65 and over,"",All,d,390,189.8,105.5,""
20200405,S08000031,"",All ages,d,All,d,477,237.4,100.9,""
20200405,S08000031,"",All ages,d,Female,"",253,123.6,104.7,""
20200405,S08000031,"",All ages,d,Male,"",224,113.8,96.8,""
20200405,S08000032,"",Under 65,"",All,d,48,27.2,76.5,""
20200405,S08000032,"",65 and over,"",All,d,183,112,63.4,""
20200405,S08000032,"",All ages,d,All,d,231,139.2,65.9,""
20200405,S08000032,"",All ages,d,Female,"",107,71.4,49.9,""
20200405,S08000032,"",All ages,d,Male,"",124,67.8,82.9,""
20200405,S92000003,d,Under 65,"",All,d,292,198.4,47.2,""
20200405,S92000003,d,65 and over,"",All,d,1452,900,61.3,""
20200405,S92000003,d,All ages,d,All,d,1744,1098.4,58.8,""
20200405,S92000003,d,All ages,d,Female,"",837,564.2,48.4,""
20200405,S92000003,d,All ages,d,Male,"",907,534.2,69.8,""
20200412,S08000015,"",Under 65,"",All,d,18,20,-10,""
20200412,S08000015,"",65 and over,"",All,d,111,67.8,63.7,""
20200412,S08000015,"",All ages,d,All,d,129,87.8,46.9,""
20200412,S08000015,"",All ages,d,Female,"",52,44.2,17.6,""
20200412,S08000015,"",All ages,d,Male,"",77,43.6,76.6,""
20200412,S08000016,"",Under 65,"",All,d,4,1.4,185.7,""
20200412,S08000016,"",65 and over,"",All,d,33,22.8,44.7,""
20200412,S08000016,"",All ages,d,All,d,37,24.2,52.9,""
20200412,S08000016,"",All ages,d,Female,"",17,9.6,77.1,""
20200412,S08000016,"",All ages,d,Male,"",20,14.6,37,""
20200412,S08000017,"",Under 65,"",All,d,5,4.2,19,""
20200412,S08000017,"",65 and over,"",All,d,48,29.4,63.3,""
20200412,S08000017,"",All ages,d,All,d,53,33.6,57.7,""
20200412,S08000017,"",All ages,d,Female,"",25,17.4,43.7,""
20200412,S08000017,"",All ages,d,Male,"",28,16.2,72.8,""
20200412,S08000019,"",Under 65,"",All,d,15,14.8,1.4,""
20200412,S08000019,"",65 and over,"",All,d,95,52.8,79.9,""
20200412,S08000019,"",All ages,d,All,d,110,67.6,62.7,""
20200412,S08000019,"",All ages,d,Female,"",53,33,60.6,""
20200412,S08000019,"",All ages,d,Male,"",57,34.6,64.7,""
20200412,S08000020,"",Under 65,"",All,d,25,19.2,30.2,""
20200412,S08000020,"",65 and over,"",All,d,133,90.4,47.1,""
20200412,S08000020,"",All ages,d,All,d,158,109.6,44.2,""
20200412,S08000020,"",All ages,d,Female,"",83,57,45.6,""
20200412,S08000020,"",All ages,d,Male,"",75,52.6,42.6,""
20200412,S08000022,"",Under 65,"",All,d,13,13,0,""
20200412,S08000022,"",65 and over,"",All,d,86,54,59.3,""
20200412,S08000022,"",All ages,d,All,d,99,67,47.8,""
20200412,S08000022,"",All ages,d,Female,"",44,34,29.4,""
20200412,S08000022,"",All ages,d,Male,"",55,33,66.7,""
20200412,S08000024,"",Under 65,"",All,d,39,30.8,26.6,""
